AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
         Take Me To Church      Dustin Vuong                     Coffee     0.692110
        Birds Of A Feather Marianne Beaulieu                Sailor Song     0.691697
Can’t Help Falling In Love Marianne Beaulieu                Sailor Song     0.691570
                      Bags    Joseph Solomon          Love On The Brain     0.691527
                Easy On Me           Rhianne                       Bags     0.691420
                  Stitches       Connie Park                     Sparks     0.691298
          Do I Wanna Know?        Nica Tupas        We Can’t Be Friends     0.690999
Can’t Help Falling In Love        Lazulitchi         Birds Of A Feather     0.690541
                    Snooze    Joseph Solomon          Love On The Brain     0.690428
                     Creep Marianne Beaulieu                Sailor Song     0.690018
           Sweater Weather     Forest Slater                     Sparks     0.689512
         Love On The Brain      Will Gittens                 Easy On Me     0.689420
         Take Me To Church       Audrey Mika          Love On The Brain     0.689379
          Do I Wanna Know?       Hannah Grae                Sailor Song     0.689289
         Take Me To Church      Alessia Cara            Sweater Weather     0.689136
                    Coffee       Connie Park                     Sparks     0.688554
          Do I Wanna Know?       Audrey Mika          Love On The Brain     0.688344
                      Halo           Lloyiso                 Easy On Me     0.688138
                Easy On Me      Dominic Fike                       Bags     0.687632
                 I’m Yours     Alyssa Bernal                  I’m Yours     0.687521
                    Coffee       Matt Wilson        We Can’t Be Friends     0.687521
                Easy On Me      Alessia Cara            Sweater Weather     0.687432
                  Nonsense     Leroy Sanchez                   Stitches     0.687411
        Birds Of A Feather     Leroy Sanchez                   Stitches     0.687088
       We Can’t Be Friends      Alyssa Baker Can’t Help Falling In Love     0.686972
                Easy On Me            Emilee                     Coffee     0.686876
                  Stitches      Dustin Vuong                     Coffee     0.686252
Can’t Help Falling In Love       Connie Park                     Sparks     0.685279
                 I’m Yours      Alyssa Baker Can’t Help Falling In Love     0.685188
                      Halo            Hozier           Do I Wanna Know?     0.684954
                      Bags     Leroy Sanchez                   Stitches     0.684756
                      Halo     Alec Chambers               Cruel Summer     0.684324
                     Creep  Jasmine Thompson                       Halo     0.684211
       We Can’t Be Friends   Hearts & Colors                  I’m Yours     0.684119
